n	size	d/s	error
3	1	0.286667	0.026108
6	2	0.483333	0.028851
9	3	0.596667	0.028323
12	4	0.710000	0.026198
15	5	0.780000	0.023917
18	6	0.820000	0.022181
21	7	0.853333	0.020425
24	8	0.920000	0.015663
27	9	0.926667	0.015051
30	10	0.940000	0.013711
33	11	0.963333	0.010851
36	12	0.966667	0.010364
39	13	0.973333	0.009302
42	14	0.976667	0.008716
48	16	0.990000	0.005745
51	17	0.990000	0.005745
60	20	0.996667	0.003328
45	15	0.980000	0.008083
